Cell_tdTomatoExpressing_True,Cell_Layer_L2/3,Cell_Layer_L4,Cell_Layer_L5,Cell_APThreshold_Slope,Cell_Depth,firing_rate,ap_duration,std_vm,fft_low,fft_high,ap_threshold,mean_vm,cell_type
0.0,1.0,0.0,0.0,0.25,0.4419014084507042,0.007738148181090456,0.2664576802507837,0.3206013230684941,0.35041671859908113,0.2918740534505307,-0.26728091532763476,-0.12645590007849228,EXC
0.0,1.0,0.0,0.0,0.25,0.4419014084507042,0.004002490438495064,0.1951515151515152,0.3581486022967291,0.31465821640259756,0.3471337986190352,-0.2868187573025885,-0.5789475328941193,EXC
0.0,1.0,0.0,0.0,0.25,0.4419014084507042,0.0050698212220937474,0.17990430622009568,0.3945958414420177,0.3557948170045049,0.3405367705539388,-0.2927160275613991,-0.6526109213467582,EXC
0.0,1.0,0.0,0.0,0.25,0.4419014084507042,0.0026683269589967092,0.16454545454545455,0.34817761224263893,0.39288900259035875,0.2771050173895445,-0.2991903611793286,-0.8563303520674462,EXC
0.0,1.0,0.0,0.0,0.25,0.4419014084507042,0.0016009961753980255,0.1863636363636364,0.21069689301236266,0.385401008857673,0.18999554370184246,-0.2911329630099521,-0.029429251517997652,EXC
0.0,1.0,0.0,0.0,0.25,0.4419014084507042,0.004269323134394735,0.20113636363636367,0.22324851770970178,0.3744813860344925,0.20124352172726534,-0.28682838998008914,-0.04093772566968674,EXC
0.0,1.0,0.0,0.0,0.25,0.4419014084507042,0.011206973227786179,0.2218614718614719,0.28999324928564774,0.37226496603745596,0.2495741113513934,-0.2682636222633804,0.03183365292179677,EXC
0.0,1.0,0.0,0.0,0.25,0.36619718309859156,0.0,0.0,0.2841195110531948,0.10762699419590215,0.3099184511597087,3.5844000632510205,-2.533317785425142,EXC
0.0,1.0,0.0,0.0,0.25,0.36619718309859156,0.00026683269589967095,0.35454545454545455,0.2908232767756876,0.11343718605309379,0.2666149425172838,-0.8769220409059413,-2.4822553066995305,EXC
0.0,1.0,0.0,0.0,0.25,0.36619718309859156,0.0016009961753980255,0.353030303030303,0.38133141506459806,0.12834785114854597,0.3130927539721031,-0.772116376470347,-2.3587319919893623,EXC
0.0,1.0,0.0,0.0,0.25,0.36619718309859156,0.0008004980876990127,0.28181818181818186,0.3936827470184277,0.16652850303373345,0.41154438723172765,-0.7823213356222319,-2.358216196859457,EXC
0.0,1.0,0.0,0.0,0.25,0.5264084507042255,0.007738148181090456,0.1855799373040752,0.3408821717775216,0.3966781443342191,0.25429741070040063,-0.2105244142750152,-0.21929969768519478,EXC
0.0,1.0,0.0,0.0,0.25,0.5264084507042255,0.0008004980876990127,0.18181818181818182,0.33738837677724026,0.345209851684153,0.2630512070617796,0.1363110977763689,-0.31127905150029955,EXC
0.0,1.0,0.0,0.0,0.25,0.5264084507042255,0.00026683269589967095,0.19090909090909092,0.2891972850392254,0.3505074462071073,0.2545307417702148,0.08591560427593294,-0.48529809309528393,EXC
0.0,1.0,0.0,0.0,0.25,0.5264084507042255,0.0021346615671973676,0.1965909090909091,0.2656734651365631,0.3272958705226184,0.26134359480720093,0.015654338575283613,-0.5621531384058905,EXC
0.0,1.0,0.0,0.0,0.25,0.5264084507042255,0.00026683269589967095,0.2,0.2787174586407978,0.38369740304480143,0.24565258972543608,0.1848692477688463,-0.5386804169736382,EXC
0.0,1.0,0.0,0.0,0.25,0.221830985915493,0.0,0.0,0.2794642745682598,0.2533479284499135,0.29099205714974624,3.5844000632510205,-0.45855752791972276,EXC
0.0,1.0,0.0,0.0,0.25,0.221830985915493,0.0,0.0,0.2952620963345786,0.27304873947748487,0.2928310580747786,3.5844000632510205,-0.44929234761795783,EXC
0.0,1.0,0.0,0.0,0.25,0.221830985915493,0.0,0.0,0.27718878713808015,0.28897603963997276,0.26732223344186296,3.5844000632510205,-0.4227744959699751,EXC
0.0,1.0,0.0,0.0,0.25,0.221830985915493,0.0,0.0,0.3108965422006647,0.2936992521191493,0.3117779061192269,3.5844000632510205,-0.45121193894966644,EXC
0.0,1.0,0.0,0.0,0.25,0.221830985915493,0.0,0.0,0.3096889127226611,0.29115049473675675,0.30512055922537223,3.5844000632510205,-0.314596962683804,EXC
0.0,1.0,0.0,0.0,0.25,0.221830985915493,0.0005336653917993419,0.20909090909090908,0.34492785854433733,0.3237665770979439,0.3309054179209928,0.20692325065504777,-0.33115376455700196,EXC
0.0,1.0,0.0,0.0,0.25,0.221830985915493,0.0021346615671973676,0.27045454545454545,0.42272380218990785,0.33199694723724643,0.34514812765802944,0.21044203906278452,-0.44255133323567825,EXC
0.0,1.0,0.0,0.0,0.25,0.221830985915493,0.0021346615671973676,0.24204545454545456,0.3996262985670164,0.368750706067311,0.3851273270230125,0.1562133654717667,-0.16938581200827416,EXC
0.0,1.0,0.0,0.0,0.25,0.221830985915493,0.0013341634794983546,0.4254545454545454,0.5202097749256875,0.303230142941002,0.48658852476016107,0.5308291764884466,-0.1419187489627436,EXC
0.0,1.0,0.0,0.0,0.25,0.176056338028169,0.0,0.0,0.19220070428895214,0.05728853726165091,0.16136872087238063,3.5844000632510205,-0.5078431617778125,EXC
0.0,1.0,0.0,0.0,0.25,0.176056338028169,0.0,0.0,0.13292538599246673,0.059241101379911745,0.13570376909293544,3.5844000632510205,-0.3253861099989311,EXC
0.0,1.0,0.0,0.0,0.25,0.176056338028169,0.0,0.0,0.16536504762838805,0.07681355370888361,0.19595352134893218,3.5844000632510205,-0.37830271098544244,EXC
0.0,1.0,0.0,0.0,0.25,0.176056338028169,0.0,0.0,0.18978981654612742,0.0705432608086388,0.20827284962910664,3.5844000632510205,0.037910203637904316,EXC
1.0,0.0,1.0,0.0,0.25,0.46302816901408456,0.03255358889975985,0.12496274217585693,0.2998458827133917,0.4909699791198596,0.282680567737868,-0.40155905619808685,0.4476672589977948,PV
1.0,1.0,0.0,0.0,0.5,0.4278169014084507,0.11749533042782176,0.08672493290207146,0.6065461978953486,0.7432890509077063,0.5545778327695383,-0.42601519852249736,0.023584208854545034,PV
1.0,0.0,0.0,1.0,0.375,0.8151408450704225,0.008627590500756026,0.30056232427366447,0.4632991860881946,0.20934649263411992,0.49233555890855224,-0.22284372926281668,-0.15969336793304764,EXC
1.0,0.0,0.0,1.0,0.375,0.8151408450704225,0.004891932758160633,0.3251239669421488,0.36591539090557695,0.18510997905829552,0.33085170949821574,-0.18274224188652022,-0.06004508445750676,EXC
1.0,0.0,0.0,1.0,0.375,0.8151408450704225,0.0050698212220937474,0.3354066985645933,0.30295198146239555,0.17691182462789656,0.28557163984941797,-0.15444902788015258,0.24016017402311685,EXC
1.0,0.0,0.0,1.0,0.25,1.0,0.031041536956328383,0.27035686376660595,0.6089640749843668,0.23741266969431896,0.6759104800814939,-0.5187400451796944,-0.2789072899848178,EXC
1.0,0.0,0.0,1.0,0.25,1.0,0.021880281063773013,0.31359940872135994,0.5156284528426314,0.2116534235577215,0.5533328082709692,-0.565851716718537,-0.20452623683448473,EXC
1.0,0.0,0.0,1.0,0.25,0.9735915492957745,0.020457173352308105,0.39035573122529643,0.21081004526989855,0.05015875786816164,0.2799081302333129,-0.672781793849983,0.0574180302542011,EXC
1.0,0.0,0.0,1.0,0.375,0.7992957746478873,0.14809214622431735,0.20398034398034398,0.6449404806624475,0.5982356284892422,0.6755886343858895,-0.6122023371402879,0.01916065178903446,VIP
1.0,0.0,0.0,1.0,0.25,0.834507042253521,0.09970648403451036,0.14586002757278405,0.42276081570062646,0.3610328454284002,0.409100925102091,-0.13380509943400765,1.1250272709443414,VIP
1.0,0.0,0.0,1.0,0.25,0.7975352112676057,0.22253846838032557,0.1866252452583388,0.47708114709592014,0.46835993052325664,0.45840147418956284,-0.017462071983787884,1.659584313009211,VIP
1.0,0.0,0.0,1.0,0.25,0.7975352112676057,0.04207062172018145,0.15923505669805882,0.18196166798233226,0.2359931995898013,0.1622849548192267,-0.45419467788466383,1.0514926793635058,SST
1.0,0.0,0.0,1.0,0.25,0.7975352112676057,0.06950991728186427,0.14864770546152503,0.2452354734404008,0.2758139777674107,0.23514813997220846,-0.35287726517179635,1.3695117418535856,SST
